x_trail,y_trail,x_snout,y_snout,x_shoulder,y_shoulder,x_tailbase,y_tailbase,x_leftear,y_leftear,x_rightear,y_rightear,poly_x0,poly_y0,poly_x1,poly_y1,poly_x2,poly_y2,poly_x3,poly_y3,poly_x4,poly_y4
0.0,15.94629331846495,-8.583437601725223,17.54944672455659,-9.953029208713133,17.721112225506758,-17.418589274088504,16.51493216849662,-9.120383368598027,18.46306053367821,-9.451678805881102,17.028582598711992,-8.583437601725223,17.54944672455659,-9.120383368598027,18.46306053367821,-17.418589274088504,16.51493216849662,-9.451678805881102,17.028582598711992,-8.583437601725223,17.54944672455659
0.22963333333336777,15.960320434570312,-8.26833385687928,17.05676929370777,-9.79707209065748,17.327993032094593,-17.308915454101566,17.039662953969593,-8.905618877495613,18.068356075802363,-9.303574030219124,16.53898166965794,-8.26833385687928,17.05676929370777,-8.905618877495613,18.068356075802363,-17.308915454101566,17.039662953969593,-9.303574030219124,16.53898166965794,-8.26833385687928,17.05676929370777
0.784580555555749,15.960320434570312,-7.5696513848197355,16.764137061866553,-9.238209293619661,17.004031619510137,-16.711616615125763,17.76487278293919,-8.247813005913486,17.638756004539697,-8.755830651855263,16.213842443517738,-7.5696513848197355,16.764137061866553,-8.247813005913486,17.638756004539697,-16.711616615125763,17.76487278293919,-8.755830651855263,16.213842443517738,-7.5696513848197355,16.764137061866553
1.0333500000000413,15.959234685124578,-7.242828148057697,16.15018607474662,-9.406445600043412,16.94793701171875,-16.296553496636307,18.309538970122468,-7.977062428114095,17.17095947265625,-8.539294551595049,15.867944665857264,-7.242828148057697,16.15018607474662,-7.977062428114095,17.17095947265625,-16.296553496636307,18.309538970122468,-8.539294551595049,15.867944665857264,-7.242828148057697,16.15018607474662
1.703113888888879,15.917444969383446,-6.590859398057773,15.62317554370777,-8.580531740993933,16.174334551836992,-15.347474083116367,18.37626194309544,-7.289053266059,16.679900298247468,-7.802983692762609,15.82236130173142,-6.590859398057773,15.62317554370777,-7.289053266059,16.679900298247468,-15.347474083116367,18.37626194309544,-7.802983692762609,15.82236130173142,-6.590859398057773,15.62317554370777
2.066699999999969,15.917444969383446,-6.944982298448281,14.398853198902026,-8.541431408691437,15.517746384079391,-14.75884287380643,17.87418014938767,-7.19580457763675,16.01118922877956,-7.6014942409939295,14.70941821948902,-6.944982298448281,14.398853198902026,-7.19580457763675,16.01118922877956,-14.75884287380643,17.87418014938767,-7.6014942409939295,14.70941821948902,-6.944982298448281,14.398853198902026
2.3920138888889824,15.917444969383446,-6.614974636501643,13.355084393475506,-7.355836317274225,14.592062460409629,-14.394707234700377,17.29552562816723,-6.289002821180475,14.9757360509924,-7.162718539767752,13.704492517419764,-6.614974636501643,13.355084393475506,-6.289002821180475,14.9757360509924,-14.394707234700377,17.29552562816723,-7.162718539767752,13.704492517419764,-6.614974636501643,13.355084393475506
2.774736111111224,15.927498762800887,-5.616096577962139,13.143054034258869,-7.061975348578358,13.828876392261401,-13.937118611653545,17.00560863597973,-6.033353251139147,14.194388724662161,-6.86266250271251,12.946265968116554,-5.616096577962139,13.143054034258869,-6.033353251139147,14.194388724662161,-13.937118611653545,17.00560863597973,-6.86266250271251,12.946265968116554,-5.616096577962139,13.143054034258869
3.157458333333466,15.927498762800887,-5.234221218532866,12.66616491369299,-6.67052170817044,13.29819797825169,-13.24774898274734,16.951745935388512,-5.746513020833277,13.726141027502111,-6.45690035671646,12.393197549355996,-5.234221218532866,12.66616491369299,-5.746513020833277,13.726141027502111,-13.24774898274734,16.951745935388512,-6.45690035671646,12.393197549355996,-5.234221218532866,12.66616491369299
3.7506777777778098,15.927498762800887,-4.7976086602104715,12.41905418602196,-6.2540787258570845,13.071853225295609,-12.397583398437405,16.95083865603885,-5.2666511203341315,13.568927661792651,-6.047684954155784,12.189292289115286,-4.7976086602104715,12.41905418602196,-5.2666511203341315,13.568927661792651,-12.397583398437405,16.95083865603885,-6.047684954155784,12.189292289115286,-4.7976086602104715,12.41905418602196
4.0377194444445195,15.90710638922614,-4.352531715223449,12.372440647434544,-5.9132998426648555,12.89080893026816,-12.45953905978729,16.56833793021537,-4.927456608072816,13.368362839157516,-5.668161462402281,11.934341843063766,-4.352531715223449,12.372440647434544,-4.927456608072816,13.368362839157516,-12.45953905978729,16.56833793021537,-5.668161462402281,11.934341843063766,-4.352531715223449,12.372440647434544
4.401305555555723,15.90710638922614,-4.152976738823668,12.646648510082349,-5.800436828613215,13.09008706582559,-12.49912067328546,16.12130324904983,-4.815142062716859,13.727487100137246,-5.411236829969539,12.191644617029139,-4.152976738823668,12.646648510082349,-4.815142062716859,13.727487100137246,-12.49912067328546,16.12130324904983,-5.411236829969539,12.191644617029139,-4.152976738823668,12.646648510082349
4.707483333333357,15.90710638922614,-3.8454612738714786,13.40420944626267,-6.200816430663963,13.24974183778505,-12.716473643663107,15.653826739336994,-5.287549083116232,14.057768950591216,-5.193560028754291,12.645276043866131,-3.8454612738714786,13.40420944626267,-5.287549083116232,14.057768950591216,-12.716473643663107,15.653826739336994,-5.193560028754291,12.645276043866131,-3.8454612738714786,13.40420944626267
5.205022222222283,15.925710630674619,-3.2722760904947563,14.68043311866554,-6.256625659179576,13.556576290646115,-12.767350892469494,15.217629922402871,-4.847263713921393,14.937382878483954,-4.642105904134041,13.57284133498733,-3.2722760904947563,14.68043311866554,-4.847263713921393,14.937382878483954,-12.767350892469494,15.217629922402871,-4.642105904134041,13.57284133498733,-3.2722760904947563,14.68043311866554
5.530336111111183,15.905196401235218,-3.034458641221704,15.602845887880068,-4.857600798882345,14.636726997994089,-12.922049685329853,14.965749379750845,-4.511787471516868,15.836491765202704,-4.0080711086696965,14.247411779455236,-3.034458641221704,15.602845887880068,-4.511787471516868,15.836491765202704,-12.922049685329853,14.965749379750845,-4.0080711086696965,14.247411779455236,-3.034458641221704,15.602845887880068
5.855650000000082,15.94551289326436,-3.0576063273111913,16.63782398120777,-4.374344032118074,15.31167849978885,-12.492916691080723,14.836071117504224,-4.140885407172277,16.59316604201858,-3.51187065022782,14.991928512985641,-3.0576063273111913,16.63782398120777,-4.140885407172277,16.59316604201858,-12.492916691080723,14.836071117504224,-3.51187065022782,14.991928512985641,-3.0576063273111913,16.63782398120777
