latitude,longitude
36.2612975, 18.74685908319185
36.26680272, 18.745670628183362
36.27093368591333, 18.74685908319185
36.27437868627225, 18.750424448217316
36.463174755806634, 18.25602716468591
36.96613078514156, 18.762308998302206
36.914496680372544, 18.750424448217316
36.86976309362234, 18.756366723259763
36.85834481054668, 18.34397283531409
36.79225759708053, 18.333276740237693
36.77889478191625, 18.743293718166385
36.71419935794382, 18.74804753820034
36.707597998707875, 18.33446519524618
36.63600789966161, 18.327334465195246
36.63350361344411, 18.580475382003396
36.639017016325184, 18.58760611205433
36.63637016225023, 18.695755517826825
36.59163657550003, 18.701697792869272
36.604760998509214, 18.749235993208828
36.57935704233464, 18.81341256366723
36.57316702642513, 18.81816638370119
36.438855250219945, 18.72308998302207
36.40174203230981, 18.778947368421054
36.53951633770886, 18.895415959252972
36.51204631619013, 18.958404074702887
36.358456327325115, 18.857385398981325
36.58439366090552, 19.03565365025467
36.58501768742915, 18.970288624787777
36.416371597945286,18.95721562
36.41146936710889, 18.871646859083192
36.57804121112564, 18.875212224108658
36.747909644698865, 18.731409168081495
36.72868284995484, 18.777758913412562
